Data ora solare	Temperatura_Media_Aria_[°C]	Umidità_relativa_media_[%]	Pressione_atmosferica_Media_al_livello_della_stazione_[hPa]
2016/01/01 00:30	3.3	77.0	1023.0
2016/01/01 01:00	4.0	75.5	1023.0
2016/01/01 01:30	3.8	74.5	1023.0
2016/01/01 02:00	3.7	74.5	1023.0
2016/01/01 02:30	3.8	73.5	1023.0
2016/01/01 03:00	3.2	76.5	1023.0
2016/01/01 03:30	2.8	79.5	1023.0
2016/01/01 04:00	3.0	79.0	1023.0
2016/01/01 04:30	2.8	80.0	1023.0
2016/01/01 05:00	2.6	80.0	1023.0
2016/01/01 05:30	2.0	81.0	1023.0
2016/01/01 06:00	2.0	81.5	1023.0
2016/01/01 06:30	1.2	84.5	1023.0
2016/01/01 07:00	0.8	86.5	1023.0
2016/01/01 07:30	1.2	85.0	1023.5
2016/01/01 08:00	0.9	85.5	1023.0
2016/01/01 08:30	0.7	86.5	1023.0
2016/01/01 09:00	0.6	88.5	1023.5
2016/01/01 09:30	1.9	84.0	1024.0
2016/01/01 10:00	3.0	77.0	1024.0
2016/01/01 10:30	3.4	75.0	1024.0
2016/01/01 11:00	4.2	72.5	1024.0
2016/01/01 11:30	5.3	67.0	1024.0
2016/01/01 12:00	6.2	64.5	1024.0
2016/01/01 12:30	6.9	60.0	1023.0
2016/01/01 13:00	7.5	57.0	1023.0
2016/01/01 13:30	8.3	55.5	1023.0
2016/01/01 14:00	8.9	52.0	1022.0
2016/01/01 14:30	9.4	49.5	1022.0
2016/01/01 15:00	9.7	48.5	1022.0
2016/01/01 15:30	9.8	48.0	1022.0
2016/01/01 16:00	9.9	47.5	1022.0
2016/01/01 16:30	9.5	50.0	1021.5
2016/01/01 17:00	9.0	54.0	1021.5
2016/01/01 17:30	7.9	63.5	1021.0
2016/01/01 18:00	6.5	67.0	1021.0
2016/01/01 18:30	5.3	71.5	1021.0
2016/01/01 19:00	5.1	73.0	1021.0
2016/01/01 19:30	4.4	74.5	1021.0
2016/01/01 20:00	4.5	76.5	1022.0
2016/01/01 20:30	5.0	75.0	1021.5
2016/01/01 21:00	4.5	77.5	1021.0
2016/01/01 21:30	4.8	76.0	1021.0
2016/01/01 22:00	4.2	79.5	1021.0
2016/01/01 22:30	4.2	80.0	1021.0
2016/01/01 23:00	4.4	79.5	1021.0
2016/01/01 23:30	4.7	79.5	1021.0
2016/01/02 00:00	5.2	77.5	1021.0
2016/01/02 00:30	5.3	76.0	1020.5
2016/01/02 01:00	5.5	76.5	1020.0
2016/01/02 01:30	5.4	77.0	1020.0
2016/01/02 02:00	5.5	77.0	1019.5
2016/01/02 02:30	5.2	78.5	1019.0
2016/01/02 03:00	5.2	79.0	1019.0
2016/01/02 03:30	5.3	79.0	1019.0
2016/01/02 04:00	5.5	79.0	1018.5
2016/01/02 04:30	5.5	77.5	1018.0
2016/01/02 05:00	5.1	82.5	1018.0
2016/01/02 05:30	4.9	91.0	1018.0
2016/01/02 06:00	4.7	95.0	1017.0
2016/01/02 06:30	4.7	96.0	1017.0
2016/01/02 07:00	4.8	97.0	1017.0
2016/01/02 07:30	4.8	97.0	1017.0
2016/01/02 08:00	4.8	98.0	1016.0
2016/01/02 08:30	4.8	98.0	1016.0
2016/01/02 09:00	4.9	98.0	1016.0
2016/01/02 09:30	5.1	99.0	1016.0
2016/01/02 10:00	5.2	99.0	1016.0
2016/01/02 10:30	5.5	99.0	1015.0
2016/01/02 11:00	5.9	99.0	1015.0
2016/01/02 11:30	6.2	99.0	1015.0
2016/01/02 12:00	6.5	99.0	1014.0
2016/01/02 12:30	7.0	99.0	1014.0
2016/01/02 13:00	8.4	95.0	1013.0
2016/01/02 13:30	8.5	94.0	1012.0
2016/01/02 14:00	8.6	94.5	1012.0
2016/01/02 14:30	8.5	94.5	1011.0
2016/01/02 15:00	8.4	96.0	1011.0
2016/01/02 15:30	8.0	97.0	1010.5
2016/01/02 16:00	7.9	97.5	1010.0
2016/01/02 16:30	7.8	98.0	1010.0
2016/01/02 17:00	8.0	98.0	1010.0
2016/01/02 17:30	8.1	98.5	1009.5
2016/01/02 18:00	8.1	99.0	1009.0
2016/01/02 18:30	8.1	99.0	1009.0
2016/01/02 19:00	8.2	99.0	1009.0
2016/01/02 19:30	8.2	99.0	1008.0
2016/01/02 20:00	8.1	99.0	1008.0
2016/01/02 20:30	8.1	99.0	1007.0
2016/01/02 21:00	8.1	99.0	1007.0
2016/01/02 21:30	8.1	99.0	1007.0
2016/01/02 22:00	8.2	99.0	1006.0
2016/01/02 22:30	8.3	99.0	1006.0
2016/01/02 23:00	8.3	99.0	1005.0
2016/01/02 23:30	8.3	99.0	1005.0
2016/01/03 00:00	8.3	99.0	1005.0
2016/01/03 00:30	8.3	99.0	1005.0
2016/01/03 01:00	8.4	99.0	1005.0
2016/01/03 01:30	8.4	99.0	1005.0
2016/01/03 02:00	8.7	99.0	1004.0
2016/01/03 02:30	8.4	99.0	1004.0
2016/01/03 03:00	8.5	99.0	1004.0
2016/01/03 03:30	8.4	99.0	1004.0
2016/01/03 04:00	7.6	98.0	1004.0
2016/01/03 04:30	7.2	98.0	1004.0
2016/01/03 05:00	7.3	97.5	1004.0
2016/01/03 05:30	6.9	85.0	1004.0
2016/01/03 06:00	6.8	85.0	1004.0
2016/01/03 06:30	6.7	82.0	1004.0
2016/01/03 07:00	6.8	80.0	1004.0
2016/01/03 07:30	6.3	82.5	1004.0
2016/01/03 08:00	6.2	79.0	1004.5
2016/01/03 08:30	7.0	63.5	1005.0
2016/01/03 09:00	7.2	64.0	1005.0
2016/01/03 09:30	7.2	65.5	1005.0
2016/01/03 10:00	8.1	59.5	1005.0
2016/01/03 10:30	8.6	57.0	1005.0
2016/01/03 11:00	8.9	57.0	1005.5
2016/01/03 11:30	9.1	57.0	1006.0
2016/01/03 12:00	9.1	57.0	1006.0
2016/01/03 12:30	9.2	57.0	1006.0
2016/01/03 13:00	9.3	57.0	1005.5
2016/01/03 13:30	9.4	57.0	1005.0
2016/01/03 14:00	9.4	57.5	1005.0
2016/01/03 14:30	9.3	58.0	1006.0
2016/01/03 15:00	9.2	59.0	1005.5
2016/01/03 15:30	8.6	61.5	1005.0
2016/01/03 16:00	8.4	63.0	1006.0
2016/01/03 16:30	7.5	66.5	1005.0
2016/01/03 17:00	7.5	65.0	1005.0
2016/01/03 17:30	6.8	69.5	1005.5
2016/01/03 18:00	6.0	73.5	1006.0
2016/01/03 18:30	5.8	76.0	1005.0
2016/01/03 19:00	4.8	80.5	1005.0
2016/01/03 19:30	4.8	81.0	1005.0
2016/01/03 20:00	5.2	80.0	1005.0
2016/01/03 20:30	5.3	80.5	1005.0
2016/01/03 21:00	5.1	81.0	1005.0
2016/01/03 21:30	4.8	82.0	1005.0
2016/01/03 22:00	5.1	81.5	1005.0
2016/01/03 22:30	5.3	81.0	1004.0
2016/01/03 23:00	5.0	83.5	1003.5
2016/01/03 23:30	5.0	84.5	1004.0
2016/01/04 00:00	5.2	85.0	1003.0
2016/01/04 00:30	4.8	86.5	1002.5
2016/01/04 01:00	4.8	87.0	1002.0
2016/01/04 01:30	4.7	91.5	1002.0
2016/01/04 02:00	4.7	95.5	1001.0
2016/01/04 02:30	4.6	96.0	1001.0
2016/01/04 03:00	4.7	96.0	1001.0
2016/01/04 03:30	4.7	97.0	1000.0
2016/01/04 04:00	4.7	97.0	999.5
2016/01/04 04:30	4.7	98.0	999.0
2016/01/04 05:00	4.8	98.0	998.0
2016/01/04 05:30	4.8	98.0	998.0
2016/01/04 06:00	4.8	99.0	997.5
2016/01/04 06:30	4.8	99.0	997.0
2016/01/04 07:00	4.8	99.0	996.0
2016/01/04 07:30	4.9	99.0	996.0
2016/01/04 08:00	5.0	99.5	995.5
2016/01/04 08:30	5.2	100.0	995.0
2016/01/04 09:00	5.4	100.0	995.0
2016/01/04 09:30	5.5	100.0	995.0
2016/01/04 10:00	5.6	100.0	995.0
2016/01/04 10:30	5.9	100.0	995.0
2016/01/04 11:00	6.2	99.0	995.0
2016/01/04 11:30	6.4	99.0	995.0
2016/01/04 12:00	6.7	99.0	995.0
2016/01/04 12:30	7.0	99.0	995.0
2016/01/04 13:00	7.5	97.5	994.5
2016/01/04 13:30	8.1	96.5	994.0
2016/01/04 14:00	8.6	95.5	994.0
2016/01/04 14:30	8.8	94.0	994.0
2016/01/04 15:00	9.3	91.5	993.5
2016/01/04 15:30	9.7	90.0	993.0
2016/01/04 16:00	9.5	91.0	993.0
2016/01/04 16:30	9.4	91.5	993.5
